level1,level2,level3,level4,level5,level6,ru,abstract,counts,also,correlated,anti-correlated,description
,,Foghorn,,,,Туманная сирена,False,"76,15,9,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""French horn"": ""0.52"", ""Brass instrument"": ""0.40"", ""Trombone"": ""0.40""}",{},A signaling sound used primarily in foggy conditions to warn watercraft of the presence of nearby vessels or other navigational hazards.
,,Whistle,,,,Свисток,False,"50,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Whistling"": ""0.61""}",{},The sound of an instrument that produces sound from a stream of forced air.
,,,Steam whistle,,,Паровой свисток,False,"3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Train whistle"": ""0.73""}",{},"The sound of a device used to produce sound with the aid of live steam, which acts as a vibrating system."
,Mechanisms,,,,,Механизмы,False,"325,79,34,19,11,5,2,0,1,0,0,0,0,1,0,0,0,0,0",,"{""Creak"": ""0.59""}",{},Sounds that originate from human-created machinery and devices.
,,"Ratchet, pawl",,,,"Храповик, собачка",False,"104,23,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Gears"": ""0.90"", ""Pulleys"": ""0.55"", ""Creak"": ""0.31""}",{},The sound of a mechanical device that allows continuous linear or rotary motion in only one direction while preventing motion in the opposite direction.
,,Clock,,,,Часы,False,"22,10,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0",,{},{},Sounds made by an instrument designed to keep and indicate time.
,,,Tick,,,Тик,False,"307,74,22,10,3,7,3,4,3,1,0,0,0,0,0,0,0,0,0","""Source-ambiguous sounds/Onomatopoeia/Clicking/Tick""","{""Tick-tock"": ""0.97""}",{},A metallic tapping sound.
,,,Tick-tock,,,Тик-так,False,"339,73,33,10,5,2,5,3,3,4,2,0,0,0,0,0,0,0,0",,"{""Tick"": ""0.97""}",{},A steady recurrent ticking sound as made by a clock.
,,Gears,,,,Шестерни,False,"72,18,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0",,"{""Ratchet, pawl"": ""0.90"", ""Pulleys"": ""0.58""}",{},"Sounds of rotating machine parts having cut teeth, or cogs, which mesh with other toothed parts to transmit torque."
,,Pulleys,,,,Шкивы,False,"13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Gears"": ""0.58"", ""Ratchet, pawl"": ""0.55""}",{},Sounds of a wheel on an axle or shaft that is designed to support movement and change of direction of a taut cable or belt along its circumference.
,,Sewing machine,,,,Швейная машина,False,"49,14,5,7,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0",,{},{},Sounds of a machine used to stitch fabric and other materials together with thread.
,,Mechanical fan,,,,Механический вентилятор,False,"50,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Air conditioning"": ""0.47"", ""Microwave oven"": ""0.32""}",{},Sounds of a machine used to create air flow via the motion of a rotating arrangement of vanes or blades.
,,Air conditioning,,,,Кондиционер,False,"362,118,32,22,18,5,5,4,4,1,1,0,0,0,0,0,0,0,0",,"{""Mechanical fan"": ""0.47""}",{},"The sound of a device that removes heat from the air inside a building or vehicle, thus lowering the air temperature."
,,Cash register,,,,Кассовый аппарат,False,"126,11,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"Sounds of a mechanical or electronic device for registering and calculating transactions, usually attached to a drawer for storing cash."
,,Printer,,,,Принтер,False,"95,14,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0",,{},{},Sounds of a computer peripheral which makes a persistent human readable representation of graphics or text on paper or similar physical media.
,,Camera,,,,Фотоаппарат,False,"403,75,33,12,5,5,5,3,0,0,0,1,0,0,0,0,0,0,0",,{},{},Sounds of mechanical or electronic instruments that employ optics to record or capture images.
,,,Single-lens reflex camera,,,Однообъективный зеркальный фотоаппарат,False,"405,77,27,21,4,9,6,0,2,1,2,0,0,0,0,0,0,0,0",,{},{},Sounds of camera that uses a mirror and prism system to permit the photographer to view through the lens and see exactly what will be captured.
,Tools,,,,,Инструменты,False,"358,122,83,52,26,18,7,6,3,0,2,0,0,0,0,0,0,0,0",,"{""Wood"": ""0.53""}",{},"Sounds associated with any physical item that can be used to achieve a goal, especially if the item is not consumed in the process."
,,Hammer,,,,Молот,False,"69,9,8,1,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0",,{},{},"Sounds made by a tool or device that delivers a blow to an object. Most hammers are hand tools used to drive nails, fit parts, forge metal, and break apart objects."
,,Jackhammer,,,,Отбойный молоток,False,"23,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"The sound of a pneumatic or electro-mechanical tool that combines a hammer directly with a chisel, usually used to break up rock, pavement, and concrete."
,,Sawing,,,,Пиление,False,"93,24,10,9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0",,"{""Wood"": ""0.58"", ""Rub"": ""0.42"", ""Power tool"": ""0.32""}",{},"Sounds of a tool consisting of a tough blade, wire, or chain with a hard toothed edge, used to cut through material, most often wood.  Includes both manual and motorized saws."
,,Filing (rasp),,,,Опиловка (рашпиль),False,"257,74,35,18,5,4,6,3,1,2,0,0,1,0,1,0,0,0,0",,"{""Rub"": ""0.76"", ""Wood"": ""0.55""}",{},Sounds of a common wood- and metal-working tool used to remove fine amounts of material from a workpiece.
,,Sanding,,,,Шлифовка,False,"79,20,8,2,1,3,2,1,2,1,1,2,0,0,0,0,0,0,0",,"{""Rub"": ""0.64""}",{},"The sounds of a surface being scraped by an abrasive material affixed to sheets of paper or cloth, either to make the surface smoother, remove a layer of material, or sometimes to make the surface rougher."
,,Power tool,,,,Электроинструмент,False,"215,63,27,10,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0",,"{""Wood"": ""0.39"", ""Sawing"": ""0.32""}",{},Sounds of tools that employ a power source other than the manual labor used with hand tools. The most common types of power tools use electric motors.
,,,Drill,,,Дрель,False,"176,59,36,16,8,7,4,2,3,2,0,0,0,0,0,0,0,0,0",,{},{},Sounds of a tool used for making holes in various materials via a rotating drill bit.
,,,,"Dental drill, dentist's drill",,"Стоматологическая бормашина, бормашина",False,"23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Engine/Light engine (high frequency)/Dental drill, dentist's drill""",{},{},"The sound of a small, high-speed drill used during dental procedures, usually to remove decay and shape tooth structure prior to the insertion of a filling or crown."
,Explosion,,,,,Взрыв,False,"63,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"The sound of a rapid increase in volume and release of energy in an extreme manner, usually with the generation of high temperatures and the release of gases."
,,"Gunshot, gunfire",,,,"Выстрел, стрельба",False,"389,169,91,63,45,22,12,8,7,3,7,0,1,0,0,0,0,0,0",,"{""Sound effect"": ""0.31""}",{},"The sound of the discharge of a firearm, or multiple such discharges."
,,,Machine gun,,,Пулемет,False,"181,87,57,26,29,17,7,3,0,6,7,2,0,0,0,0,0,0,0",,"{""Fusillade"": ""0.63"", ""Artillery fire"": ""0.36""}",{},"Sounds of a fully automatic mounted or portable firearm, designed to fire bullets in quick succession from an ammunition belt or magazine, typically at a rate of 300 to 1800 rounds per minute."
,,,Fusillade,,,Расстрел,False,"256,148,100,77,56,46,23,17,12,6,4,1,1,0,0,0,0,0,0",,"{""Machine gun"": ""0.63"", ""Sound effect"": ""0.32"", ""Boom"": ""0.30""}",{},The sound of the simultaneous and continuous firing of a group of firearms on command.
,,,Artillery fire,,,Артиллерийский огонь,False,"198,56,23,12,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Eruption"": ""0.41"", ""Burst, pop"": ""0.38"", ""Machine gun"": ""0.36""}",{},The sound of large military weapons built to fire munitions far beyond the range and power of infantry's small arms.
,,,Cap gun,,,Пистолет-пулемет,False,"104,11,10,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0",,{},{},The sound of a toy gun that creates a loud sound simulating a gunshot and a puff of smoke when a small percussion cap is exploded.
,,Fireworks,,,,Фейерверк,False,"51,16,4,0,1,0,0,0,0,0,4,1,0,1,0,1,0,0,0",,{},{},Sounds of a class of low explosive pyrotechnic devices used for aesthetic and entertainment purposes.
,,,Firecracker,,,Петарда,False,"44,1,5,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0",,{},{},"The sound of a small explosive device primarily designed to produce a large amount of noise, especially in the form of a loud bang."
,,"Burst, pop",,,,"Взрыв, хлопок",False,"8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Bang"": ""0.51"", ""Smash, crash"": ""0.44"", ""Eruption"": ""0.41"", ""Whoosh, swoosh, swish"": ""0.40"", ""Boom"": ""0.39"", ""Artillery fire"": ""0.38"", ""Whack, thwack"": ""0.36"", ""Sound effect"": ""0.34""}",{},The sound of an enclosure holding gas or liquid coming open suddenly and violently.
,,Eruption,,,,Извержение,False,"211,62,35,17,11,6,0,0,1,0,0,0,0,0,0,0,0,0,0",,"{""Artillery fire"": ""0.41"", ""Burst, pop"": ""0.41"", ""Boom"": ""0.34""}",{},"The sound of a volcano violently ejecting ash and lava, or a similar event in which large volumes of material are explosively released."
,,Boom,,,,Бум,False,"205,69,36,19,21,18,7,5,4,1,1,1,0,0,0,0,0,0,0",,"{""Burst, pop"": ""0.39"", ""Eruption"": ""0.34"", ""Fusillade"": ""0.30"", ""Bang"": ""0.30""}",{},A deep prolonged loud noise.
,Wood,,,,,Дерево,False,"600,189,79,30,21,13,4,5,2,0,0,0,0,1,0,0,0,0,0",,"{""Rub"": ""0.65"", ""Sawing"": ""0.58"", ""Filing (rasp)"": ""0.55"", ""Tools"": ""0.53"", ""Power tool"": ""0.39""}",{},"Sounds associated with the porous and fibrous structural tissue found in the stems and roots of trees, and other woody plants."
,,Chop,,,,Рубка,False,"217,32,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Chopping (food)"": ""0.39""}",{},The sound of cutting a solid material such as wood into smaller pieces by using an ax or other hacking tool.
,,Splinter,,,,Осколок,False,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"The sound of a rigid fibrous material, typically wood, breaking up into splinters or slivers."
,,Crack,,,,Треснуть,False,"73,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Source-ambiguous sounds/Onomatopoeia/Crack""","{""Breaking"": ""0.35""}",{},Abrupt sounds of individual ruptures in a rigid substance under stress.
,Glass,,,,,Стекло,False,"80,19,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Dishes, pots, and pans"": ""0.34"", ""Cutlery, silverware"": ""0.34""}",{},"Sounds associated with the non-crystalline amorphous solid that is often transparent and has widespread practical, technological, and decorative uses."
,,"Chink, clink",,,,"Звон, звон",False,"261,38,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Dishes, pots, and pans"": ""0.31"", ""Cutlery, silverware"": ""0.30""}",{},A short light metallic sound.
,,Shatter,,,,Разбиться,False,"265,72,25,10,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Breaking"": ""0.46""}",{},The sound of a brittle rigid substance rapidly breaking into many pieces.
,Liquid,,,,,Жидкость,False,"182,30,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Water"": ""0.63"", ""Gurgling"": ""0.42"", ""Water tap, faucet"": ""0.36"", ""Sink (filling or washing)"": ""0.31""}",{},Sounds of a fluid that conforms to the shape of its container but retains a constant volume independent of pressure.
,,"Splash, splatter",,,,"Всплеск, брызги",False,"24,8,5,5,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0",,{},{},The sound of a liquid colliding with a hard surface.
,,,Slosh,,,Хлюпанье,False,"41,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Gurgling"": ""0.50"", ""Rowboat, canoe, kayak"": ""0.38"", ""Trickle, dribble"": ""0.36"", ""Water"": ""0.33"", ""Boat, Water vehicle"": ""0.30""}",{},The sound of small waves of liquid held in a container breaking against the edges.
,,Squish,,,,Хлюпанье,False,"1424,294,76,18,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0","""Source-ambiguous sounds/Onomatopoeia/Squish""","{""Drip"": ""0.39"", ""Zipper (clothing)"": ""0.36"", ""Inside, small room"": ""0.35""}",{},Sounds made by a liquid-saturated material being squeezed.
,,Drip,,,,Капля,False,"233,47,12,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Fill (with liquid)"": ""0.44"", ""Squish"": ""0.39"", ""Water"": ""0.37""}",{},The sound of liquid falling in drops.
,,Pour,,,,Лить,False,"158,41,17,8,7,5,1,2,1,0,1,0,0,0,0,0,0,0,0",,"{""Gurgling"": ""0.32"", ""Water"": ""0.32""}",{},The sound of liquid being transferred in a steady stream.
,,,"Trickle, dribble",,,"Струйка, капля",False,"107,27,8,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0",,"{""Stream"": ""0.51"", ""Gurgling"": ""0.48"", ""Water"": ""0.46"", ""Slosh"": ""0.36""}",{},The sound of a liquid flowing slowly in an unsteady stream or drops.
,,,Gush,,,Хлыст,False,"54,5,4,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0",,"{""Pump (liquid)"": ""0.49"", ""Water"": ""0.38"", ""Fill (with liquid)"": ""0.32""}",{},The sound of a liquid coming out of a pipe or other opening rapidly and in large volumes.
,,Fill (with liquid),,,,Заполнить (жидкостью),False,"46,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Water"": ""0.66"", ""Water tap, faucet"": ""0.50"", ""Sink (filling or washing)"": ""0.45"", ""Drip"": ""0.44"", ""Pump (liquid)"": ""0.42"", ""Boiling"": ""0.34"", ""Toilet flush"": ""0.33"", ""Gush"": ""0.32""}",{},The sound of a container being filled with liquid.
,,Spray,,,,Распылить,False,"835,126,36,9,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0",,"{""Hiss"": ""0.45""}",{},The sound of a liquid being transferred in a scatter or jet of droplets.
,,Pump (liquid),,,,Насос (жидкость),False,"30,10,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0",,"{""Gush"": ""0.49"", ""Fill (with liquid)"": ""0.42"", ""Water"": ""0.41""}",{},The sound of a liquid being drawn or poured with a pump.
,,Stir,,,,Перемешать,False,"168,66,34,27,11,5,10,6,3,1,1,0,2,1,0,0,0,0,0",,"{""Sizzle"": ""0.84"", ""Frying (food)"": ""0.84""}",{},The sound of moving an implement through a fluid substance.
,,Boiling,,,,Кипение,False,"103,21,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Fill (with liquid)"": ""0.34""}",{},"The sound of a liquid that is reaching the temperature at which it transitions to a vapor, resulting in bubbles emerging at the surface."
,Miscellaneous sources,,,,,,True,,,,,Portmanteau class for sound categories that clearly suggest specific sources not covered in the other categories.
,,Sonar,,,,Сонар,False,"173,53,13,12,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},Sounds associated with underwater sensing via acoustic signals. A classic sonar sound involves reverberant reflections of an emitted tone pip.
,,Arrow,,,,Стрела,False,"171,16,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Ping"": ""0.51"", ""Tap"": ""0.44"", ""Whip"": ""0.35""}",{},Sounds of a shafted projectile that is shot with a bow.
,,,"Whoosh, swoosh, swish",,,Свист,False,"253,49,14,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0","""Source-ambiguous sounds/Onomatopoeia/Whoosh, swoosh, swish""","{""Burst, pop"": ""0.40"", ""Smash, crash"": ""0.36"", ""Sound effect"": ""0.35"", ""Bang"": ""0.31"", ""Whack, thwack"": ""0.30""}",{},A sibilant sound caused by a rigid object sweeping through the air.
,,,"Thump, thud",,,"Стук, стук",False,"90,22,15,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0","""Source-ambiguous sounds/Generic impact sounds/Thump, thud""","{""Tap"": ""0.51"", ""Ping"": ""0.50"", ""Slam"": ""0.49"", ""Inside, large room or hall"": ""0.46"", ""Basketball bounce"": ""0.38""}",{},"A heavy dull sound, as made by impact of heavy objects with a relatively soft point of contact."
,,,,Thunk,,Танц,False,"267,65,14,13,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0","""Source-ambiguous sounds/Generic impact sounds/Thump, thud/Thunk""","{""Door"": ""0.37"", ""Inside, large room or hall"": ""0.34"", ""Tap"": ""0.31""}",{},A partly dull hollow sound with a damped resonance.
,,Sound equipment,,,,,True,,,,,Sounds that suggest the involvement of electronic audio processing equipment.
,,,Microphone,,,,True,,,,,"Sounds whose origin lie with the microphone used in the recording, rather than the external sound source that was intended to be recorded."
,,,,Wind noise (microphone),,Шум ветра (микрофон),False,"487,172,91,57,37,19,8,8,9,3,3,0,0,0,0,0,0,0,0","""Natural sounds/Wind/Wind noise (microphone)""","{""Wind"": ""0.98"", ""Sailboat, sailing ship"": ""0.77"", ""Boat, Water vehicle"": ""0.64"", ""Ship"": ""0.59"", ""Ocean"": ""0.58"", ""Waves, surf"": ""0.54"", ""Rustling leaves"": ""0.47"", ""Flap"": ""0.41"", ""Gurgling"": ""0.41"", ""Motorboat, speedboat"": ""0.36"", ""Outside, rural or natural"": ""0.32"", ""Outside, urban or manmade"": ""0.30""}",{},"The noise produced when a strong air current passes over a microphone, causing large amplitude local turbulence, normally recorded as mechanical clipping as the microphone element exceeds its limits of linearity."
,,,Electronic tuner,,,Электронный тюнер,False,"29,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",,"{""Bass guitar"": ""0.57"", ""Guitar"": ""0.45"", ""Plucked string instrument"": ""0.44"", ""Effects unit"": ""0.40"", ""Musical instrument"": ""0.38"", ""Electric guitar"": ""0.36"", ""Reverberation"": ""0.35"", ""Chorus effect"": ""0.35"", ""Distortion"": ""0.33"", ""Tapping (guitar technique)"": ""0.32""}",{},Sounds produced by an electronic device whose purpose is to aid in the tuning of musical instruments.
,,,Effects unit,,,Эффекты,False,"116,33,10,8,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0",,"{""Distortion"": ""0.95"", ""Reverberation"": ""0.68"", ""Electric guitar"": ""0.61"", ""Echo"": ""0.59"", ""Electronic tuner"": ""0.40"", ""Bass guitar"": ""0.39"", ""Guitar"": ""0.37"", ""Plucked string instrument"": ""0.33"", ""Tapping (guitar technique)"": ""0.32"", ""Musical instrument"": ""0.31""}",{},"Sounds associated with an electronic device that alters how a musical instrument or other audio source sounds. Some effects subtly ""color"" a sound while others transform it dramatically."
,,,,Chorus effect,,Эффект хоруса,False,"24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Distortion"": ""0.80"", ""Reverberation"": ""0.64"", ""Echo"": ""0.57"", ""Electric guitar"": ""0.49"", ""Electronic tuner"": ""0.35"", ""Bass guitar"": ""0.34"", ""Guitar"": ""0.32""}",{},The ensemble sound produced by an electronic effects unit which outputs simultaneous versions of the input source with small variations in pitch and timbre.
,Specific impact sounds,,,,,,True,,,,,Transient contact sounds that are strongly suggestive of the particular objects involved in the collision.
,,Basketball bounce,,,,Отскок баскетбольного мяча,False,"46,15,17,15,4,4,1,6,6,3,1,0,0,3,0,0,0,0,0",,"{""Thump, thud"": ""0.38"", ""Slam"": ""0.37""}",{},"The sound of a basketball bouncing on a hard surface, such as a basketball court."
Music,,,,,,Музыка,False,"3041,1961,983,666,665,521,560,780,1225,2022,2908,3507,3643,2473,1389,909,766,484,66",,"{""Harmonic"": ""0.55"", ""Echo"": ""0.32""}","{""Speech"": ""-0.52"", ""Narration, monologue"": ""-0.41"", ""Conversation"": ""-0.37"", ""Inside, small room"": ""-0.33"", ""Breathing"": ""-0.32""}","Music is an art form and cultural activity whose medium is sound and silence. The common elements of music are pitch, rhythm, dynamics, and the sonic qualities of timbre and texture."
,Musical instrument,,,,,Музыкальный инструмент,False,"4258,1347,567,298,216,132,93,78,62,55,36,29,13,8,4,6,1,0,0",,"{""Blues"": ""0.56"", ""Country"": ""0.43"", ""Classical music"": ""0.41"", ""Flamenco"": ""0.39"", ""Electronic tuner"": ""0.38"", ""Bluegrass"": ""0.36"", ""Singing"": ""0.35"", ""Jazz"": ""0.35"", ""Harmonic"": ""0.35"", ""Tender music"": ""0.34"", ""Wedding music"": ""0.33"", ""Effects unit"": ""0.31"", ""Song"": ""0.31""}","{""Speech"": ""-0.39""}","Sounds specifically associated with instruments created, adapted or otherwise used to make musical sounds."
,,Choir,,,,Хор,False,"105,55,28,16,11,7,8,8,6,7,3,2,0,1,0,0,0,0,0","""Human sounds/Human voice/Singing/Choir""","{""A capella"": ""0.59"", ""Gospel music"": ""0.56"", ""Vocal music"": ""0.52"", ""Singing"": ""0.49"", ""Chant"": ""0.42"", ""Christian music"": ""0.36""}",{},A musical ensemble of singers.
,,Plucked string instrument,,,,Струнный щипковый инструмент,False,"1146,397,185,103,76,61,57,41,36,20,23,12,9,4,4,1,0,0,0",,"{""Blues"": ""0.58"", ""Flamenco"": ""0.47"", ""Country"": ""0.45"", ""Electronic tuner"": ""0.44"", ""Bluegrass"": ""0.37"", ""Singing"": ""0.35"", ""Effects unit"": ""0.33"", ""Distortion"": ""0.33""}",{},"Sounds of a musical instrument using tensioned strings to produce tones, where the usual mode of playing is to pull and release the strings to cause them to vibrate."
,,,Guitar,,,Гитара,False,"1399,497,240,140,95,56,62,54,42,41,26,21,18,11,8,3,1,0,0",,"{""Blues"": ""0.61"", ""Country"": ""0.48"", ""Flamenco"": ""0.48"", ""Electronic tuner"": ""0.45"", ""Bluegrass"": ""0.38"", ""Effects unit"": ""0.37"", ""Singing"": ""0.37"", ""Distortion"": ""0.37"", ""Chorus effect"": ""0.32"", ""Song"": ""0.31"", ""Reverberation"": ""0.31""}",{},"Sounds of a string instrument with between 4 and 18 strings (typically 6) running over a fretboard, typically played by strumming or plucking the strings with the right hand while fretting the strings with the fingers of the left hand."
,,,,Electric guitar,,Электрогитара,False,"226,50,20,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Distortion"": ""0.66"", ""Effects unit"": ""0.61"", ""Tapping (guitar technique)"": ""0.61"", ""Blues"": ""0.50"", ""Chorus effect"": ""0.49"", ""Bass guitar"": ""0.49"", ""Strum"": ""0.43"", ""Reverberation"": ""0.36"", ""Electronic tuner"": ""0.36"", ""Rock music"": ""0.35"", ""Rock and roll"": ""0.34"", ""Steel guitar, slide guitar"": ""0.33"", ""Progressive rock"": ""0.31""}",{},"Sounds of a guitar that uses a pickup to convert the vibration of its strings (which are typically made of metal, and which occurs when a guitarist strums, plucks, or fingerpicks the strings) into electrical impulses, which are then amplified and converted to sound."
,,,,Bass guitar,,Бас-гитара,False,"105,25,12,8,5,2,4,0,1,1,0,0,0,1,0,0,1,0,0",,"{""Electronic tuner"": ""0.57"", ""Electric guitar"": ""0.49"", ""Tapping (guitar technique)"": ""0.41"", ""Effects unit"": ""0.39"", ""Distortion"": ""0.37"", ""Blues"": ""0.34"", ""Chorus effect"": ""0.34"", ""Reverberation"": ""0.32""}",{},Sounds of a relative of the electric guitar with a longer neck and 4 to 6 strings. The common 4-string bass is usually tuned one octave lower than the four lowest pitched strings of a guitar.
,,,,Acoustic guitar,,Акустическая гитара,False,"449,193,123,86,58,51,27,22,16,12,7,4,2,1,0,0,0,0,0",,"{""Strum"": ""0.95"", ""Flamenco"": ""0.50"", ""Blues"": ""0.38"", ""Country"": ""0.37""}",{},"Sounds of a guitar that produces sound acoustically by transmitting the vibration of the strings from its body to the air. Includes guitars with both nylon (or gut) strings, and those with steel strings."
,,,,"Steel guitar, slide guitar",,"Стил-гитара, слайд-гитара",False,"120,37,10,9,7,3,4,3,1,0,0,0,0,0,0,0,0,0,0",,"{""Blues"": ""0.58"", ""Electric guitar"": ""0.33"", ""Strum"": ""0.33""}",{},"Sounds of a guitar whose string length is controlled by a hard object placed on the string (the ""slide"" or ""steel"") instead of by pressing against the frets with the fingers."
,,,,Tapping (guitar technique),,Тэппинг (техника игры на гитаре),False,"22,11,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Electric guitar"": ""0.61"", ""Bass guitar"": ""0.41"", ""Blues"": ""0.36"", ""Distortion"": ""0.33"", ""Effects unit"": ""0.32"", ""Strum"": ""0.32"", ""Electronic tuner"": ""0.32""}",{},"Sounds of a guitar playing technique, where a string is fretted and set into vibration as part of a single motion of being pushed onto the fretboard, as opposed to the standard technique being fretted with one hand and picked with the other."
,,,,Strum,,Струм,False,"439,163,68,59,37,30,24,13,7,3,0,0,0,0,0,0,0,0,0",,"{""Acoustic guitar"": ""0.95"", ""Blues"": ""0.48"", ""Flamenco"": ""0.45"", ""Electric guitar"": ""0.43"", ""Country"": ""0.40"", ""Steel guitar, slide guitar"": ""0.33"", ""Singing"": ""0.32"", ""Tapping (guitar technique)"": ""0.32""}",{},The sound of playing a guitar by dragging a finger or plectrum over multiple strings near-simultaneously.
,,,Banjo,,,Банджо,False,"96,25,10,6,3,2,0,1,3,1,0,0,0,0,0,0,0,0,0",,"{""Bluegrass"": ""0.65"", ""Country"": ""0.45"", ""Mandolin"": ""0.44""}",{},"Sounds of a 4-, 5-, or 6-stringed instrument with a thin membrane stretched over a frame or cavity as a resonator, called the head."
,,,Sitar,,,Ситар,False,"43,17,11,3,3,1,2,3,1,0,0,0,0,0,0,1,0,0,0",,"{""Carnatic music"": ""0.46""}",{},"Sounds of a plucked stringed instrument used mainly in Hindustani and Indian classical music, which derives its distinctive timbre and resonance from sympathetic strings, bridge design, a long hollow neck, and a gourd-shaped resonance chamber."
,,,Mandolin,,,Мандолина,False,"170,35,7,5,1,2,1,1,1,0,0,0,0,2,1,0,1,0,0",,"{""Ukulele"": ""0.48"", ""Banjo"": ""0.44"", ""Zither"": ""0.34"", ""Pizzicato"": ""0.33""}",{},"Sounds of an instrument in the lute family, commonly with 4 courses of doubled metal strings, usually plucked with a plectrum or ""pick""."
,,,Zither,,,Цитра,False,"169,24,12,2,5,4,2,0,2,0,0,0,0,0,0,0,0,0,0",,"{""Pizzicato"": ""0.74"", ""Harp"": ""0.48"", ""Flamenco"": ""0.35"", ""Mandolin"": ""0.34""}",{},"Sounds of a class of stringed instruments consisting of many strings stretched across a thin, flat body, played by strumming or plucking."
,,,Ukulele,,,Укулеле,False,"55,16,9,1,6,3,3,1,2,1,0,0,1,1,1,0,2,0,0",,"{""Mandolin"": ""0.48""}",{},Sounds of a small four-stringed guitar-like instument that originated in Hawaii.
,,Keyboard (musical),,,,Клавиатура (музыкальная),False,"597,203,90,45,38,22,26,21,19,9,5,5,2,0,0,0,0,0,0",,"{""Tender music"": ""0.42"", ""Classical music"": ""0.32""}",{},"Sounds of a musical instrument played using a keyboard, most commonly the piano, organ, and various electronic keyboards, including synthesizers and digital pianos."
,,,Piano,,,Фортепиано,False,"602,231,97,56,35,21,29,16,24,16,16,10,8,4,1,0,0,0,0",,"{""Tender music"": ""0.42"", ""Harpsichord"": ""0.40"", ""Classical music"": ""0.37""}",{},"Sounds of a musical instrument played via a row of keys that the performer presses down or strikes with the fingers and thumbs of both hands, to trigger a decaying note whose loudness reflects the vigor of the press."
,,,,Electric piano,,Электропианино,False,"386,130,59,39,24,21,9,8,5,2,0,0,0,0,0,0,0,0,0",,"{""Tender music"": ""0.42"", ""Harpsichord"": ""0.30""}",{},"Sounds of a music instrument with a piano-style keyboard, where pressing keys causes mechanical hammers to strike metal strings, metal reeds, or wire tines, leading to vibrations which are converted into electrical signals by magnetic pickups."
